Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,State_abb,Profit Margin,Delivery Days,Year,Quarter,Month,Month_Name,Year_Month,Discount Category,Acquisition_Channel,CAC,Acquisition_Campaign,LTV_CAC_Ratio,Discount_Cost
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,CA,0.05,5,2014,2,6,Jun,2014-06,Low (1-20%),Paid Search,30.72,Brand_Awareness_PPC,26.13,426.54600000000005
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,CA,0.07500000000000001,5,2014,2,6,Jun,2014-06,Low (1-20%),Paid Search,30.72,Brand_Awareness_PPC,26.13,227.856
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,NC,0.35000000000000003,5,2017,2,4,Apr,2017-04,Low (1-20%),Paid Search,31.35,Product_Category_PPC,13.9,3.888
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,WA,0.32499999999999996,5,2016,4,12,Dec,2016-12,Low (1-20%),Social Media,23.62,Facebook_Prospecting,21.79,101.994
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,TX,-1.8,4,2015,4,11,Nov,2015-11,High (>40%),Social Media,33.58,Instagram_Retargeting,11.13,275.24000000000007
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,TX,-1.5,4,2015,4,11,Nov,2015-11,High (>40%),Social Media,33.58,Instagram_Retargeting,11.13,10.176000000000002
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,WI,0.02,7,2014,4,11,Nov,2014-11,No Discount,Organic,3.04,SEO_Content,670.48,0.0
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,UT,0.18,2,2014,2,5,May,2014-05,No Discount,Paid Search,25.25,Brand_Awareness_PPC,29.02,0.0
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,CA,0.29,5,2014,3,8,Aug,2014-08,No Discount,Social Media,27.21,LinkedIn_B2B,9.16,0.0
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,CA,0.075,5,2014,3,8,Aug,2014-08,Low (1-20%),Social Media,27.21,LinkedIn_B2B,9.16,53.37
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,CA,0.325,5,2014,3,8,Aug,2014-08,Low (1-20%),Social Media,27.21,LinkedIn_B2B,9.16,5.68
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,NE,0.25999999999999995,4,2016,4,12,Dec,2016-12,No Discount,Paid Search,9.77,Product_Category_PPC,59.3,0.0
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,NE,0.25999999999999995,4,2016,4,12,Dec,2016-12,No Discount,Paid Search,9.77,Product_Category_PPC,59.3,0.0
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,PA,-0.014285714285714287,2,2017,3,7,Jul,2017-07,Medium (21-40%),Social Media,30.79,Facebook_Prospecting,7.41,30.588
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,UT,0.22999999999999998,5,2015,3,9,Sep,2015-09,No Discount,Social Media,26.39,Facebook_Prospecting,9.91,0.0
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,CA,0.36250000000000004,4,2016,1,1,Jan,2016-01,Low (1-20%),Email,8.55,Promotional_Blast,6.26,2.912
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,CA,0.13,4,2016,1,1,Jan,2016-01,No Discount,Email,8.55,Promotional_Blast,6.26,0.0
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,PA,-0.54,4,2015,3,9,Sep,2015-09,High (>40%),Paid Search,19.74,Brand_Awareness_PPC,-81.21,3083.43
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,PA,-0.7333333333333334,4,2015,3,9,Sep,2015-09,High (>40%),Paid Search,19.74,Brand_Awareness_PPC,-81.21,22.441999999999997
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,PA,0.125,4,2015,3,9,Sep,2015-09,Low (1-20%),Paid Search,19.74,Brand_Awareness_PPC,-81.21,31.05
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,PA,0.3375,4,2015,3,9,Sep,2015-09,Low (1-20%),Paid Search,19.74,Brand_Awareness_PPC,-81.21,0.8159999999999998
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,PA,0.11249999999999999,4,2015,3,9,Sep,2015-09,Low (1-20%),Paid Search,19.74,Brand_Awareness_PPC,-81.21,21.576
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,PA,-0.8333333333333334,4,2015,3,9,Sep,2015-09,High (>40%),Paid Search,19.74,Brand_Awareness_PPC,-81.21,16.001999999999995
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,PA,0.22499999999999998,4,2015,3,9,Sep,2015-09,Low (1-20%),Paid Search,19.74,Brand_Awareness_PPC,-81.21,3.94
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,TX,0.33749999999999997,4,2017,4,10,Oct,2017-10,Low (1-20%),Organic,1.0,Blog_Traffic,1240.23,7.367999999999999
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,TX,0.11249999999999999,2,2016,4,12,Dec,2016-12,Low (1-20%),Email,5.55,Welcome_Series,-17.2,274.386
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,TX,-0.775,2,2016,4,12,Dec,2016-12,High (>40%),Email,5.55,Welcome_Series,-17.2,286.37999999999994
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,TX,0.3125,4,2015,4,12,Dec,2015-12,Low (1-20%),Organic,7.33,SEO_Content,65.72,28.332
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,TX,-0.08823529411764706,4,2015,4,12,Dec,2015-12,Medium (21-40%),Organic,7.33,SEO_Content,65.72,250.54080000000002
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,TX,-0.07142857142857144,4,2015,4,12,Dec,2015-12,Medium (21-40%),Organic,7.33,SEO_Content,65.72,90.88199999999999
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,TX,0.1125,4,2015,4,12,Dec,2015-12,Low (1-20%),Organic,7.33,SEO_Content,65.72,92.792
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,IL,0.11249999999999999,5,2017,3,9,Sep,2017-09,Low (1-20%),Organic,1.59,Blog_Traffic,181.3,36.792
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,CA,0.05,5,2016,3,7,Jul,2016-07,No Discount,Direct,1.17,Sales_Outreach,1105.01,0.0
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,FL,0.1,4,2017,3,9,Sep,2017-09,Low (1-20%),Paid Search,44.75,Brand_Awareness_PPC,5.51,23.904
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,MN,0.43000000000000005,2,2016,1,3,Mar,2016-03,No Discount,Email,4.28,Re_Engagement,-1.38,0.0
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,MN,0.47000000000000003,2,2016,1,3,Mar,2016-03,No Discount,Email,4.28,Re_Engagement,-1.38,0.0
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,MI,0.04,5,2014,4,10,Oct,2014-10,No Discount,Paid Search,21.39,Competitor_Keywords,20.47,0.0
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,DE,0.11,5,2016,2,6,Jun,2016-06,No Discount,Paid Search,20.03,Brand_Awareness_PPC,26.26,0.0
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,DE,0.27999999999999997,5,2016,2,6,Jun,2016-06,No Discount,Paid Search,20.03,Brand_Awareness_PPC,26.26,0.0
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,IN,0.47000000000000003,4,2015,2,4,Apr,2015-04,No Discount,Email,5.09,Welcome_Series,47.44,0.0
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,IN,0.47,4,2015,2,4,Apr,2015-04,No Discount,Email,5.09,Welcome_Series,47.44,0.0
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,IN,0.48,4,2015,2,4,Apr,2015-04,No Discount,Email,5.09,Welcome_Series,47.44,0.0
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,IN,0.19,4,2015,2,4,Apr,2015-04,No Discount,Email,5.09,Welcome_Series,47.44,0.0
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,NY,0.41,6,2016,4,12,Dec,2016-12,No Discount,Email,8.27,Promotional_Blast,60.78,0.0
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,NY,0.29,6,2016,4,12,Dec,2016-12,No Discount,Email,8.27,Promotional_Blast,60.78,0.0
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,NY,0.25,1,2016,2,6,Jun,2016-06,No Discount,Paid Search,28.77,Competitor_Keywords,13.56,0.0
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,NY,0.48,1,2016,2,6,Jun,2016-06,No Discount,Paid Search,28.77,Competitor_Keywords,13.56,0.0
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,NY,0.02222222222222222,1,2016,2,6,Jun,2016-06,Low (1-20%),Paid Search,28.77,Competitor_Keywords,13.56,35.49
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,NY,0.48,1,2016,2,6,Jun,2016-06,No Discount,Paid Search,28.77,Competitor_Keywords,13.56,0.0
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,NY,0.11,1,2016,2,6,Jun,2016-06,No Discount,Paid Search,28.77,Competitor_Keywords,13.56,0.0
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,NY,0.33749999999999997,1,2016,2,6,Jun,2016-06,Low (1-20%),Paid Search,28.77,Competitor_Keywords,13.56,12.12
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,NY,0.5,1,2016,2,6,Jun,2016-06,No Discount,Paid Search,28.77,Competitor_Keywords,13.56,0.0
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,CA,0.44,6,2015,4,11,Nov,2015-11,No Discount,Social Media,9.35,Instagram_Retargeting,79.76,0.0
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,CA,0.3625,6,2015,4,11,Nov,2015-11,Low (1-20%),Social Media,9.35,Instagram_Retargeting,79.76,6.456
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,CA,0.47000000000000003,6,2015,4,11,Nov,2015-11,No Discount,Social Media,9.35,Instagram_Retargeting,79.76,0.0
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,CA,0.27999999999999997,6,2015,4,11,Nov,2015-11,No Discount,Social Media,9.35,Instagram_Retargeting,79.76,0.0
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,IL,-0.07142857142857142,5,2015,2,4,Apr,2015-04,Medium (21-40%),Organic,12.26,SEO_Content,16.19,91.33500000000001
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,AZ,0.10000000000000002,5,2014,4,12,Dec,2014-12,Low (1-20%),Direct,2.1,Sales_Outreach,181.8,278.256
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,AZ,0.375,5,2014,4,12,Dec,2014-12,Low (1-20%),Direct,2.1,Sales_Outreach,181.8,41.992
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,VA,0.4700000000000001,2,2016,2,6,Jun,2016-06,No Discount,Email,1.33,Promotional_Blast,832.85,0.0
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,NY,0.37500000000000006,5,2016,3,9,Sep,2016-09,Low (1-20%),Organic,12.01,Referral_Program,9.76,1.154
