Customer ID,Customer_Name,Segment,Region,First_Order,Total_Orders,Total_Revenue,Total_Profit,Acquisition_Channel,CAC,Acquisition_Campaign,LTV_CAC_Ratio,Cluster,RFM_Label,RFM_Score
AG-10765,Anthony Garverick,Home Office,East,2014-09-17,4,170.584,-8.431000000000001,Social Media,7.75,Instagram_Retargeting,-1.09,3,Needs Attention,5
AG-10900,Arthur Gainer,Consumer,West,2014-07-23,10,4510.797,343.6824,Organic,3.27,Blog_Traffic,105.1,4,Loyal Customers,12
AH-10030,Aaron Hawkins,Corporate,East,2014-04-22,7,1744.7,365.2152,Email,3.36,Re_Engagement,108.7,4,Loyal Customers,12
AH-10075,Adam Hart,Corporate,East,2014-11-16,10,3250.337,281.189,Paid Search,34.99,Brand_Awareness_PPC,8.04,4,Loyal Customers,12
AH-10120,Adrian Hane,Home Office,West,2014-07-18,7,1735.5140000000001,-2.3145999999999773,Organic,14.44,Blog_Traffic,-0.16,2,Potential Loyalists,7
AH-10195,Alan Haines,Corporate,South,2015-03-05,4,1587.452,-378.5509,Organic,8.96,SEO_Content,-42.25,3,Needs Attention,5
AH-10210,Alan Hwang,Consumer,West,2014-11-29,9,4805.344,1308.5546,Paid Search,20.52,Brand_Awareness_PPC,63.77,0,Champions,15
AH-10465,Amy Hunt,Consumer,East,2015-01-03,5,2495.3916,-196.12009999999998,Organic,2.46,Blog_Traffic,-79.72,1,Needs Attention,4
AH-10585,Angele Hood,Consumer,Central,2014-10-26,4,738.504,83.96300000000001,Paid Search,41.2,Competitor_Keywords,2.04,3,Potential Loyalists,8
AH-10690,Anna Häberlin,Corporate,East,2014-04-02,12,7888.294,1298.0166,Social Media,32.62,Facebook_Prospecting,39.79,0,Loyal Customers,11
AI-10855,Arianne Irving,Consumer,East,2014-04-28,10,4375.786,867.7271000000001,Email,3.31,Welcome_Series,262.15,0,Champions,15
AJ-10780,Anthony Jacobs,Corporate,South,2014-01-10,7,4867.344,150.71300000000005,Direct,1.0,Word_of_Mouth,150.71,4,Potential Loyalists,8
AJ-10795,Anthony Johnson,Corporate,South,2014-05-14,7,4501.391,1158.7064,Organic,9.62,Referral_Program,120.45,0,Loyal Customers,10
AJ-10945,Ashley Jarboe,Consumer,South,2014-03-03,7,1839.24,521.1351999999999,Organic,17.48,Blog_Traffic,29.81,4,Loyal Customers,10
AJ-10960,Astrea Jones,Consumer,East,2014-09-14,3,629.2479999999999,60.4265,Social Media,25.04,LinkedIn_B2B,2.41,3,Needs Attention,6
AM-10360,Alice McCarthy,Corporate,Central,2014-10-06,5,814.012,194.9878,Email,4.8,Re_Engagement,40.62,3,Potential Loyalists,9
AM-10705,Anne McFarland,Consumer,South,2014-10-31,8,5664.022,1085.7326,Paid Search,27.27,Product_Category_PPC,39.81,0,Loyal Customers,11
AO-10810,Anthony O'Donnell,Corporate,West,2016-08-16,1,161.28,12.096,Paid Search,10.97,Product_Category_PPC,1.1,1,Needs Attention,4
AP-10720,Anne Pryor,Home Office,East,2014-03-03,8,1638.554,285.7888,Email,9.13,Welcome_Series,31.3,4,Loyal Customers,11
AP-10915,Arthur Prichep,Consumer,South,2014-08-23,10,3323.556,579.3113,Display,29.98,Prospecting_Display,19.32,4,Loyal Customers,12
AR-10345,Alex Russell,Corporate,East,2014-12-30,4,1055.694,-221.0544,Organic,2.52,Referral_Program,-87.72,3,Needs Attention,4
AR-10405,Allen Rosenblatt,Corporate,East,2014-10-03,5,2236.128,-98.7646,Paid Search,25.45,Brand_Awareness_PPC,-3.88,3,Needs Attention,5
AR-10510,Andrew Roberts,Consumer,East,2014-05-02,5,264.86400000000003,43.6695,Paid Search,22.88,Brand_Awareness_PPC,1.91,3,Potential Loyalists,9
AR-10540,Andy Reiter,Consumer,East,2014-11-25,6,6608.448,2884.6208,Display,45.52,Retargeting_Display,63.37,0,Champions,13
AR-10570,Anemone Ratner,Consumer,South,2016-07-14,1,88.15,32.633,Organic,15.79,Referral_Program,2.07,1,Needs Attention,4
AR-10825,Anthony Rawles,Corporate,West,2014-06-30,8,4523.336,494.83519999999993,Display,58.58,Retargeting_Display,8.45,4,Loyal Customers,11
AS-10045,Aaron Smayling,Corporate,South,2014-07-27,7,3050.692,-253.57459999999998,Direct,3.35,Sales_Outreach,-75.69,2,Potential Loyalists,7
AS-10090,Adam Shillingsburg,Consumer,South,2014-09-22,9,3255.31,64.53739999999998,Social Media,19.69,LinkedIn_B2B,3.28,4,Loyal Customers,11
AS-10135,Adrian Shami,Home Office,East,2016-11-13,2,58.82,21.8496,Social Media,18.69,LinkedIn_B2B,1.17,3,Potential Loyalists,7
AS-10225,Alan Schoenberger,Corporate,East,2014-10-18,5,4260.784,719.7751000000001,Display,1.0,Retargeting_Display,719.78,3,Loyal Customers,12
AS-10240,Alan Shonely,Consumer,South,2014-03-15,7,584.6080000000001,33.715799999999994,Paid Search,32.15,Competitor_Keywords,1.05,4,Potential Loyalists,7
AS-10285,Alejandro Savely,Corporate,West,2016-05-21,6,3214.236,354.62760000000003,Paid Search,33.44,Product_Category_PPC,10.6,3,Loyal Customers,12
AS-10630,Ann Steele,Home Office,Central,2014-08-01,7,833.398,136.49190000000002,Social Media,20.51,LinkedIn_B2B,6.65,4,Potential Loyalists,8
AT-10435,Alyssa Tate,Home Office,West,2014-11-24,6,1171.814,100.87680000000002,Email,3.17,Welcome_Series,31.82,3,Loyal Customers,10
AT-10735,Annie Thurman,Consumer,West,2014-08-30,10,3831.864,974.107,Direct,5.81,Sales_Outreach,167.66,0,Champions,15
AW-10840,Anthony Witt,Consumer,Central,2015-04-13,4,649.376,65.77250000000001,Direct,2.96,Word_of_Mouth,22.22,3,Potential Loyalists,8
AW-10930,Arthur Wiediger,Home Office,Central,2014-07-14,7,2852.968,-104.5486,Social Media,6.94,LinkedIn_B2B,-15.06,2,Potential Loyalists,8
AY-10555,Andy Yotov,Corporate,West,2014-04-06,4,497.014,103.3499,Paid Search,29.23,Competitor_Keywords,3.54,3,Potential Loyalists,8
AZ-10750,Annie Zypern,Consumer,East,2014-03-17,6,1622.0179999999998,154.9503,Social Media,18.11,Instagram_Retargeting,8.56,3,Potential Loyalists,8
BB-10990,Barry Blumstein,Corporate,West,2014-07-27,5,744.3399999999999,11.583900000000007,Paid Search,33.73,Brand_Awareness_PPC,0.34,3,Needs Attention,6
BB-11545,Brenda Bowman,Corporate,Central,2015-06-05,9,6765.728,1015.0749999999999,Paid Search,24.89,Brand_Awareness_PPC,40.78,0,Champions,14
BC-11125,Becky Castell,Home Office,West,2014-07-06,9,2933.676,251.5974,Paid Search,32.08,Product_Category_PPC,7.84,4,Loyal Customers,10
BD-11320,Bill Donatelli,Consumer,West,2015-05-31,12,5718.521,1094.5037,Paid Search,27.91,Brand_Awareness_PPC,39.22,0,Champions,14
BD-11500,Bradley Drucker,Consumer,Central,2014-02-01,6,4411.2429999999995,1142.1225,Email,3.67,Re_Engagement,311.21,0,Loyal Customers,12
BD-11560,Brendan Dodson,Home Office,West,2015-05-30,2,320.54,116.714,Organic,13.87,Blog_Traffic,8.41,1,Needs Attention,4
BD-11605,Brian Dahlen,Consumer,East,2014-01-13,7,3288.471,634.8463,Social Media,34.65,Instagram_Retargeting,18.32,4,Loyal Customers,10
BD-11620,Brian DeCherney,Consumer,West,2014-06-30,6,1538.11,206.75689999999997,Social Media,34.53,LinkedIn_B2B,5.99,3,Potential Loyalists,9
BD-11635,Brian Derr,Consumer,South,2014-10-05,3,582.646,141.53400000000002,Paid Search,22.08,Brand_Awareness_PPC,6.41,3,Potential Loyalists,8
BD-11725,Bruce Degenhardt,Consumer,South,2015-07-03,6,1526.5,333.9791,Paid Search,39.08,Competitor_Keywords,8.55,3,Loyal Customers,10
BD-11770,Bryan Davis,Consumer,Central,2016-03-10,6,658.466,141.265,Paid Search,48.48,Brand_Awareness_PPC,2.91,1,Needs Attention,6
BE-11335,Bill Eplett,Home Office,Central,2016-01-15,5,4204.676,1487.7739000000001,Paid Search,38.48,Competitor_Keywords,38.66,0,Potential Loyalists,9
BE-11410,Bobby Elias,Consumer,East,2016-02-07,5,2261.438,755.9150999999999,Social Media,27.84,LinkedIn_B2B,27.15,3,Loyal Customers,10
BE-11455,Brad Eason,Home Office,Central,2015-08-02,6,1727.652,139.20080000000002,Paid Search,13.33,Product_Category_PPC,10.44,1,Needs Attention,6
BF-10975,Barbara Fisher,Corporate,South,2014-07-14,7,599.798,227.4384,Organic,13.1,Referral_Program,17.36,4,Potential Loyalists,9
BF-11005,Barry Franz,Home Office,West,2014-09-25,4,1333.88,-291.38109999999995,Paid Search,26.07,Competitor_Keywords,-11.18,3,Needs Attention,6
BF-11020,Barry Französisch,Corporate,Central,2014-02-15,8,2888.506,302.02,Social Media,18.79,Facebook_Prospecting,16.07,4,Loyal Customers,10
BF-11080,Bart Folk,Consumer,East,2014-11-28,3,272.95,110.9272,Email,7.67,Welcome_Series,14.46,3,Potential Loyalists,8
BF-11170,Ben Ferrer,Home Office,West,2014-04-13,11,5907.972,1538.2127,Organic,16.82,SEO_Content,91.45,0,Champions,15
BF-11215,Benjamin Farhat,Home Office,West,2014-11-09,4,1585.162,523.2133,Social Media,44.85,Instagram_Retargeting,11.67,3,Potential Loyalists,8
BF-11275,Beth Fritzler,Corporate,West,2014-03-22,3,791.9899999999999,25.870199999999997,Paid Search,10.72,Competitor_Keywords,2.41,3,Needs Attention,6
BG-11035,Barry Gonzalez,Consumer,South,2014-11-05,8,2798.948,-711.4274,Social Media,32.72,Instagram_Retargeting,-21.74,2,Potential Loyalists,9
BG-11695,Brooke Gillingham,Corporate,East,2014-05-11,6,1874.172,107.5715,Organic,13.09,Blog_Traffic,8.22,3,Potential Loyalists,9
BG-11740,Bruce Geld,Consumer,East,2014-03-23,6,1006.356,119.34790000000001,Paid Search,42.6,Competitor_Keywords,2.8,3,Potential Loyalists,8
BH-11710,Brosina Hoffman,Consumer,West,2014-06-09,8,6255.351,802.7898,Paid Search,30.72,Brand_Awareness_PPC,26.13,0,Champions,14
BK-11260,Berenike Kampe,Consumer,East,2014-08-03,6,659.1379999999999,-63.764399999999995,Paid Search,38.17,Competitor_Keywords,-1.67,3,Potential Loyalists,7
BM-11140,Becky Martin,Consumer,Central,2014-09-08,4,11789.63,-1659.9580999999998,Paid Search,30.1,Competitor_Keywords,-55.15,1,At Risk,3
BM-11575,Brendan Murry,Corporate,East,2015-09-15,6,808.162,95.58160000000001,Organic,3.92,SEO_Content,24.38,3,Potential Loyalists,8
BM-11650,Brian Moss,Corporate,East,2014-07-09,11,7294.185,2199.2781,Email,8.2,Promotional_Blast,268.2,0,Champions,14
BM-11785,Bryan Mills,Consumer,East,2014-06-06,10,1338.842,137.7439,Paid Search,16.55,Brand_Awareness_PPC,8.32,4,Potential Loyalists,9
BN-11470,Brad Norvell,Corporate,South,2014-09-12,4,265.296,36.6131,Social Media,28.93,Facebook_Prospecting,1.27,3,Potential Loyalists,8
BN-11515,Bradley Nguyen,Consumer,West,2014-03-17,5,1459.344,340.7054,Organic,16.34,Referral_Program,20.85,3,Loyal Customers,11
BO-11350,Bill Overfelt,Corporate,West,2016-01-03,5,2682.728,278.77700000000004,Email,3.4,Re_Engagement,81.99,3,Potential Loyalists,7
BO-11425,Bobby Odegard,Consumer,South,2015-09-10,2,130.83,59.4522,Social Media,23.31,LinkedIn_B2B,2.55,3,Needs Attention,6
BP-11050,Barry Pond,Corporate,East,2014-10-12,5,983.42,209.78300000000002,Paid Search,38.54,Product_Category_PPC,5.44,3,Potential Loyalists,8
BP-11095,Bart Pistole,Corporate,Central,2014-06-07,12,2442.044,433.9751,Email,5.28,Promotional_Blast,82.19,4,Champions,14
BP-11155,Becky Pak,Consumer,South,2015-06-04,6,1697.8609999999999,647.3847000000001,Organic,23.67,Referral_Program,27.35,3,Loyal Customers,10
BP-11185,Ben Peterman,Corporate,West,2015-03-24,9,3675.861,363.5991,Email,6.28,Welcome_Series,57.9,4,Champions,14
BP-11230,Benjamin Patterson,Consumer,West,2014-04-20,5,1181.49,-197.2695,Paid Search,16.44,Competitor_Keywords,-12.0,3,Potential Loyalists,7
BP-11290,Beth Paige,Consumer,Central,2014-10-03,7,2475.157,-319.0637,Paid Search,39.73,Product_Category_PPC,-8.03,2,Potential Loyalists,9
BS-11365,Bill Shonely,Corporate,East,2014-05-04,5,10501.653,2616.0643999999998,Email,5.63,Welcome_Series,464.67,1,Potential Loyalists,8
BS-11380,Bill Stewart,Corporate,Central,2014-11-29,5,3887.834,-17.532200000000024,Direct,4.48,Sales_Outreach,-3.91,3,Potential Loyalists,7
BS-11590,Brendan Sweed,Corporate,West,2014-01-14,6,2454.928,381.7807,Direct,2.1,Sales_Outreach,181.8,3,Loyal Customers,11
BS-11665,Brian Stugart,Consumer,East,2014-06-23,3,3288.1099999999997,238.73680000000002,Social Media,28.99,Instagram_Retargeting,8.24,1,Needs Attention,5
BS-11755,Bruce Stewart,Consumer,West,2014-05-18,7,2562.382,-113.29840000000003,Organic,5.37,Blog_Traffic,-21.1,2,Potential Loyalists,9
BS-11800,Bryan Spruell,Home Office,East,2015-09-26,2,949.4300000000001,194.0516,Email,4.46,Re_Engagement,43.51,1,Needs Attention,5
BT-11305,Beth Thompson,Home Office,West,2014-04-25,5,2567.656,417.5918,Display,47.45,Prospecting_Display,8.8,1,Potential Loyalists,7
BT-11395,Bill Tyler,Corporate,Central,2014-10-28,6,2186.6130000000003,257.9163,Paid Search,49.16,Brand_Awareness_PPC,5.25,1,Potential Loyalists,7
BT-11440,Bobby Trafton,Consumer,West,2014-06-04,4,603.876,-77.5256,Email,9.17,Promotional_Blast,-8.45,1,At Risk,3
BT-11485,Brad Thomas,Home Office,East,2015-12-27,2,415.19599999999997,126.8694,Organic,10.26,SEO_Content,12.37,1,Needs Attention,4
BT-11530,Bradley Talbott,Home Office,West,2014-05-21,5,2684.4919999999997,409.4983,Organic,5.2,Blog_Traffic,78.75,3,Potential Loyalists,9
BT-11680,Brian Thompson,Consumer,East,2014-11-28,7,3196.752,447.74839999999995,Social Media,34.44,LinkedIn_B2B,13.0,4,Loyal Customers,12
BV-11245,Benjamin Venier,Corporate,Central,2015-03-26,5,1523.2730000000001,315.2214,Display,42.57,Retargeting_Display,7.4,1,Needs Attention,6
BW-11065,Barry Weirich,Consumer,South,2014-05-25,3,385.516,-58.28659999999999,Display,41.86,Prospecting_Display,-1.39,3,Needs Attention,4
BW-11110,Bart Watters,Corporate,Central,2015-03-20,8,4750.358,921.2574,Email,10.31,Promotional_Blast,89.36,0,Loyal Customers,11
BW-11200,Ben Wallace,Consumer,South,2014-08-12,6,1738.406,246.9973,Email,6.02,Promotional_Blast,41.03,3,Potential Loyalists,8
CA-11965,Carol Adams,Corporate,South,2014-01-26,6,3789.7228,1143.3817,Organic,11.16,SEO_Content,102.45,0,Loyal Customers,11
CA-12055,Cathy Armstrong,Home Office,Central,2015-09-05,5,1679.7240000000002,211.2559,Social Media,23.59,Facebook_Prospecting,8.96,1,Needs Attention,6
CA-12265,Christina Anderson,Consumer,Central,2014-03-25,9,2648.2872,279.6183,Social Media,23.49,Facebook_Prospecting,11.9,4,Loyal Customers,11
CA-12310,Christine Abelman,Corporate,East,2014-07-19,4,1421.954,246.02179999999998,Paid Search,17.73,Product_Category_PPC,13.88,3,Potential Loyalists,9
CA-12775,Cynthia Arntzen,Consumer,South,2014-06-28,7,3041.566,204.48950000000002,Social Media,5.9,LinkedIn_B2B,34.66,4,Potential Loyalists,8
CB-12025,Cassandra Brandow,Consumer,East,2014-03-21,10,6076.139,150.2089,Social Media,25.22,Facebook_Prospecting,5.96,4,Loyal Customers,11
CB-12415,Christy Brittain,Consumer,East,2015-11-05,8,1949.2,272.3883,Paid Search,17.28,Competitor_Keywords,15.76,4,Loyal Customers,12
CB-12535,Claudia Bergmann,Corporate,South,2015-01-02,8,4246.4555,1049.5601,Email,5.0,Re_Engagement,209.91,0,Loyal Customers,11
CC-12100,Chad Cunningham,Home Office,Central,2014-12-16,6,1770.945,208.5912,Organic,12.75,SEO_Content,16.36,1,Potential Loyalists,7
CC-12145,Charles Crestani,Consumer,West,2014-07-20,7,2471.65,392.2825,Paid Search,12.75,Competitor_Keywords,30.77,4,Potential Loyalists,9
CC-12220,Chris Cortes,Consumer,Central,2014-09-09,12,3913.418,393.9618,Paid Search,56.67,Product_Category_PPC,6.95,4,Champions,14
CC-12370,Christopher Conant,Consumer,South,2016-05-23,5,12129.072000000002,2177.0493,Email,11.53,Promotional_Blast,188.82,0,Loyal Customers,11
CC-12430,Chuck Clark,Home Office,Central,2015-09-06,10,2870.05,424.6583,Organic,10.08,Blog_Traffic,42.13,4,Champions,14
CC-12475,Cindy Chapman,Consumer,East,2014-05-16,9,1659.438,154.851,Social Media,25.98,Instagram_Retargeting,5.96,4,Loyal Customers,12
CC-12550,Clay Cheatham,Consumer,West,2017-06-15,3,113.832,33.870599999999996,Organic,7.78,Blog_Traffic,4.35,3,Potential Loyalists,7
CC-12610,Corey Catlett,Corporate,East,2014-08-27,7,2540.631,331.434,Paid Search,7.97,Product_Category_PPC,41.59,4,Loyal Customers,11
CC-12670,Craig Carreira,Consumer,East,2014-12-23,7,2269.7015,187.8399,Paid Search,18.74,Product_Category_PPC,10.02,4,Loyal Customers,10
CC-12685,Craig Carroll,Consumer,South,2014-03-22,4,2854.1150000000002,850.1591,Paid Search,47.94,Product_Category_PPC,17.73,1,Potential Loyalists,7
CD-11920,Carlos Daly,Consumer,West,2014-03-24,5,2033.968,426.661,Paid Search,31.81,Brand_Awareness_PPC,13.41,3,Loyal Customers,10
CD-11980,Carol Darley,Consumer,Central,2016-11-24,3,639.766,-206.7172,Organic,1.94,Referral_Program,-106.56,3,Needs Attention,5
CD-12280,Christina DeMoss,Consumer,West,2017-11-05,2,1205.584,233.0274,Email,7.13,Promotional_Blast,32.68,3,Potential Loyalists,8
CD-12790,Cynthia Delaney,Home Office,West,2014-02-02,5,1860.732,403.8422,Email,10.95,Re_Engagement,36.88,1,Potential Loyalists,7
CG-12040,Catherine Glotzbach,Home Office,East,2015-06-01,6,904.4680000000001,86.5106,Social Media,15.42,Instagram_Retargeting,5.61,3,Potential Loyalists,9
CG-12520,Claire Gute,Consumer,South,2015-10-15,3,1148.7800000000002,169.93439999999998,Organic,3.6,SEO_Content,47.2,1,Needs Attention,5
CH-12070,Cathy Hwang,Home Office,South,2015-06-25,3,1537.236,195.15109999999999,Paid Search,25.15,Competitor_Keywords,7.76,1,Needs Attention,5
CJ-11875,Carl Jackson,Corporate,East,2016-12-30,1,16.52,1.652,Paid Search,50.46,Competitor_Keywords,0.03,1,Needs Attention,4
CJ-12010,Caroline Jumper,Consumer,West,2016-03-10,8,11164.974,858.7414,Social Media,10.35,Instagram_Retargeting,82.97,0,Loyal Customers,11
CK-12205,Chloris Kastensmidt,Consumer,East,2014-03-11,13,3154.855,141.2831,Social Media,21.05,Facebook_Prospecting,6.71,4,Loyal Customers,11
CK-12325,Christine Kargatis,Home Office,West,2014-03-14,5,2945.321,261.22090000000003,Social Media,35.89,LinkedIn_B2B,7.28,3,Potential Loyalists,7
CK-12595,Clytie Kelty,Consumer,East,2014-12-26,11,2372.75,497.70980000000003,Paid Search,43.88,Product_Category_PPC,11.34,4,Champions,13
CK-12760,Cyma Kinney,Corporate,East,2014-02-07,9,1582.109,-338.4311,Email,6.18,Welcome_Series,-54.76,2,Potential Loyalists,9
CL-11890,Carl Ludwig,Consumer,East,2014-07-26,4,1262.0140000000001,328.0847,Organic,21.74,Blog_Traffic,15.09,3,Potential Loyalists,7
CL-12565,Clay Ludtke,Consumer,Central,2014-03-04,12,10880.546,1933.7830999999999,Email,5.39,Re_Engagement,358.77,0,Loyal Customers,11
CL-12700,Craig Leslie,Home Office,Central,2016-04-24,5,2353.586,229.00990000000002,Email,6.18,Welcome_Series,37.06,3,Potential Loyalists,7
CM-11815,Candace McMahon,Corporate,Central,2014-11-14,6,1673.888,214.463,Direct,1.0,Word_of_Mouth,214.46,3,Potential Loyalists,8
CM-11935,Carlos Meador,Consumer,South,2015-09-24,2,565.392,-43.732400000000005,Email,9.84,Welcome_Series,-4.44,1,At Risk,3
CM-12115,Chad McGuire,Consumer,East,2015-03-29,4,1661.6100000000001,409.0679,Social Media,28.18,Instagram_Retargeting,14.52,3,Loyal Customers,10
CM-12160,Charles McCrossin,Consumer,Central,2016-10-21,6,2533.314,-394.3686,Social Media,22.64,LinkedIn_B2B,-17.42,2,Potential Loyalists,9
CM-12190,Charlotte Melton,Consumer,East,2015-09-18,6,1475.144,91.2033,Direct,2.03,Sales_Outreach,44.93,3,Loyal Customers,10
CM-12235,Chris McAfee,Consumer,Central,2016-05-01,5,2305.712,365.0387,Social Media,23.87,Facebook_Prospecting,15.29,1,Potential Loyalists,7
CM-12385,Christopher Martinez,Consumer,South,2015-03-16,4,8954.019999999999,3899.8903999999998,Organic,6.89,Referral_Program,566.02,0,Loyal Customers,10
CM-12445,Chuck Magee,Consumer,West,2014-06-09,3,287.99,64.4296,Email,4.93,Re_Engagement,13.07,1,Needs Attention,4
CM-12655,Corinna Mitchell,Home Office,West,2015-03-19,6,6339.5576,1572.4585,Organic,11.81,Referral_Program,133.15,0,Loyal Customers,12
CM-12715,Craig Molinari,Corporate,Central,2014-03-07,4,3984.4524,176.3108,Display,46.72,Retargeting_Display,3.77,1,Needs Attention,5
CP-12085,Cathy Prescott,Corporate,East,2014-12-04,8,5402.254,427.0258,Paid Search,34.62,Brand_Awareness_PPC,12.33,4,Loyal Customers,11
CP-12340,Christine Phan,Corporate,East,2014-03-17,8,5888.275,-1850.3029000000001,Display,27.35,Prospecting_Display,-67.65,2,Potential Loyalists,7
CR-12580,Clay Rozendal,Home Office,Central,2016-04-18,4,2148.852,74.40129999999999,Direct,1.0,Sales_Outreach,74.4,3,Needs Attention,6
CR-12625,Corey Roper,Home Office,East,2014-06-01,3,475.9,144.7594,Organic,3.9,SEO_Content,37.12,1,Needs Attention,4
CR-12730,Craig Reiter,Consumer,East,2014-08-20,4,1600.55,306.9176,Social Media,35.98,Facebook_Prospecting,8.53,3,Potential Loyalists,7
CR-12820,Cyra Reiten,Home Office,East,2015-01-24,3,1397.8724,83.27029999999999,Organic,7.8,SEO_Content,10.68,3,Needs Attention,6
CS-11845,Cari Sayre,Corporate,West,2014-12-14,5,1278.954,185.3776,Paid Search,28.15,Competitor_Keywords,6.59,3,Potential Loyalists,8
CS-11860,Cari Schnelling,Consumer,South,2014-05-02,6,537.632,105.8275,Organic,14.65,Referral_Program,7.22,3,Potential Loyalists,7
CS-11950,Carlos Soltero,Consumer,Central,2014-06-08,11,3036.547,-126.4223,Social Media,19.85,LinkedIn_B2B,-6.37,4,Loyal Customers,11
CS-12130,Chad Sievert,Consumer,West,2014-08-05,4,884.64,143.8339,Paid Search,38.25,Product_Category_PPC,3.76,1,Needs Attention,4
CS-12175,Charles Sheldon,Corporate,South,2014-08-12,5,844.4580000000001,113.1405,Direct,2.46,Sales_Outreach,45.99,1,Needs Attention,5
CS-12250,Chris Selesnick,Corporate,South,2014-01-13,12,2754.216,738.3626,Direct,1.77,Word_of_Mouth,417.15,4,Champions,15
CS-12355,Christine Sundaresam,Consumer,South,2014-08-15,11,3202.1620000000003,831.9432,Display,66.68,Prospecting_Display,12.48,4,Champions,15
CS-12400,Christopher Schild,Home Office,Central,2014-09-26,9,3651.8585000000003,-342.80330000000004,Social Media,31.59,LinkedIn_B2B,-10.85,2,Loyal Customers,11
CS-12460,Chuck Sachs,Consumer,South,2017-07-03,2,550.644,156.2593,Social Media,32.84,LinkedIn_B2B,4.76,3,Potential Loyalists,8
